feature,mean_abs_shap,mean_signed_shap
discretionary_spending_growth,0.02330011773958686,-0.1922660371881778
rolling_spending_std,0.022879736550690713,-0.1548918632950459
starting_balance,0.00729603771114198,-0.10792026646152228
recent_state_change,0.0,-0.032599702524277366
rolling_spending_min,0.035573990789579686,-0.021837463861791192
bonus_income,0.004838019829202676,-0.01941024342616294
discretionary_pressure,0.036192558743123666,-0.009674213974468875
ending_balance,0.006493862286469083,-0.00817257185969502
rolling_spending_max,0.0069681405358758665,-0.007781062982016012
average_balance,0.028494291466200958,-0.0063717419134700325
net_cash_flow,0.01735051147784688,-0.00604978688839765
transaction_amount_std,0.009083767375891325,-0.003161483904710258
cash_buffer_ratio,0.0,-0.003064817201980614
income_growth,0.12442768708726655,-0.002853763072605943
discretionary_spending_ratio,0.00578801943287981,-0.0027156661132285076
category_shift,0.0407641240316594,-0.0024652627869596474
minimum_balance,0.009374793480928926,-0.0023687766462448055
balance_growth,0.09139186991067329,-0.0022286510097561424
balance_change,0.0,-0.0020534799229906635
rolling_average_balance,0.3140588757759528,-0.0015881201865442563
rolling_transaction_count,0.08678436830269128,-0.0015151281436759745
income_volatility,0.11620253436375934,-0.0013510563380317757
savings_rate,0.0435615044208258,-0.0008004943303851175
variable_spending,0.004074611185333924,-0.0007225787165050868
minimum_balance_ratio,0.4456288867708921,-0.0001763669183506866
cash_buffer,0.0,0.0
state_changed,0.057814472471455526,0.0
income_to_expense_ratio,0.0,0.0
transactions_per_day,0.0,0.0
transaction_count_change,0.059673307080451925,0.0
spending_baseline_deviation,0.05951483500960604,0.0
maximum_balance,0.022809163021447608,0.0
transaction_count,0.017571274817394445,0.0
has_full_history,0.0,0.0
savings_rate_change,0.028038411268908367,0.0
rolling_net_cash_flow,0.06030312593210693,0.0002189427923294722
essential_spending,0.01354637098194289,0.0004589643001629148
salary_income,0.009227346250539992,0.0006047373459194204
average_transaction,0.004688302857996313,0.0009092590006795956
average_balance_ratio,0.2771309553082566,0.0012838439591636415
spending_baseline_ratio,0.036606715617289606,0.001292499311604479
discretionary_spending,0.010152346269227569,0.001340922182754731
essential_spending_ratio,0.023914033887553535,0.0015419125015949259
debit_transaction_count,0.012727133500447964,0.0016889022691451842
total_income,0.011419504324212905,0.0016970201902266125
recurring_spending,0.12198740450709306,0.0019164361883078531
historical_spending_mean,0.03292564531890383,0.0019532645645027515
spending_acceleration,0.021206824537416104,0.002239647676132155
expense_pressure,0.18119165913154137,0.0024898957124460134
median_transaction,0.05273479722304035,0.0025602934222522895
rolling_savings_rate,0.04746991038703127,0.0029519555496226534
rolling_income_mean,0.02762798492791299,0.004726004568031204
rolling_minimum_balance,0.015240811066055905,0.005769069921223858
state_duration,0.01218344471751188,0.006044556319427646
rolling_spending_mean,0.008630553772376153,0.009657677332582526
historical_spending_std,0.04817378886344414,0.009875605149380864
total_debits,0.021889477199669632,0.009983650962590766
negative_cash_flow,0.0,0.010191496658406143
spending_growth,0.015337539774630572,0.018633890918639005
credit_transaction_count,0.0,0.028975767195459055
debit_transactions_per_day,0.0,0.030099540249101827
