feature,mean_abs_shap
minimum_balance_ratio,0.4456288867708921
rolling_average_balance,0.3140588757759528
average_balance_ratio,0.2771309553082566
expense_pressure,0.18119165913154137
income_growth,0.12442768708726655
recurring_spending,0.12198740450709306
income_volatility,0.11620253436375934
balance_growth,0.09139186991067329
rolling_transaction_count,0.08678436830269128
rolling_net_cash_flow,0.06030312593210693
transaction_count_change,0.059673307080451925
spending_baseline_deviation,0.05951483500960604
state_changed,0.057814472471455526
median_transaction,0.05273479722304035
historical_spending_std,0.04817378886344414
rolling_savings_rate,0.04746991038703127
savings_rate,0.0435615044208258
category_shift,0.0407641240316594
spending_baseline_ratio,0.036606715617289606
discretionary_pressure,0.036192558743123666
rolling_spending_min,0.035573990789579686
historical_spending_mean,0.03292564531890383
average_balance,0.028494291466200958
savings_rate_change,0.028038411268908367
rolling_income_mean,0.02762798492791299
essential_spending_ratio,0.023914033887553535
discretionary_spending_growth,0.02330011773958686
rolling_spending_std,0.022879736550690713
maximum_balance,0.022809163021447608
total_debits,0.021889477199669632
spending_acceleration,0.021206824537416104
transaction_count,0.017571274817394445
net_cash_flow,0.01735051147784688
spending_growth,0.015337539774630572
rolling_minimum_balance,0.015240811066055905
essential_spending,0.01354637098194289
debit_transaction_count,0.012727133500447964
state_duration,0.01218344471751188
total_income,0.011419504324212905
discretionary_spending,0.010152346269227569
minimum_balance,0.009374793480928926
salary_income,0.009227346250539992
transaction_amount_std,0.009083767375891325
rolling_spending_mean,0.008630553772376153
starting_balance,0.00729603771114198
rolling_spending_max,0.0069681405358758665
ending_balance,0.006493862286469083
discretionary_spending_ratio,0.00578801943287981
bonus_income,0.004838019829202676
average_transaction,0.004688302857996313
variable_spending,0.004074611185333924
credit_transaction_count,0.0
debit_transactions_per_day,0.0
balance_change,0.0
income_to_expense_ratio,0.0
transactions_per_day,0.0
recent_state_change,0.0
cash_buffer_ratio,0.0
cash_buffer,0.0
negative_cash_flow,0.0
has_full_history,0.0
