policy,n,policy_value,standard_error,ci_lower,ci_upper,policy_treatment_rate,policy_match_rate,effective_sample_size
NO_INTERVENTION,300,0.24666666666666667,0.03803223808044505,0.17212348002899436,0.321209853304339,0.0,0.5033333333333333,151.0
TREAT_ALL,300,0.18,0.03310063706204222,0.11512275135839724,0.24487724864160276,1.0,0.49666666666666665,149.0
CATE_BENEFIT,300,0.22,0.03618976369991269,0.14906806314817111,0.2909319368518289,0.6466666666666666,0.48333333333333334,145.0
CATE_STRONG_BENEFIT,300,0.18666666666666668,0.03364624589021255,0.12072002472185009,0.25261330861148323,0.4,0.4633333333333333,139.0
