intervention_category,outcome_column,treatment_n,control_n,treatment_outcome_rate,control_outcome_rate,ate,standard_error,ci_lower,ci_upper
LIQUIDITY_PROTECTION,synthetic_cash_buffer_change,24,23,0.11960223996129553,-0.01363097486215008,0.1332332148234456,0.02092220608627415,0.09222644441722355,0.17423998522966766
SPENDING_CONTROL,synthetic_cash_buffer_change,5,6,0.09405633483589906,-0.011962364851858176,0.10601869968775723,0.03234250341631973,0.0426285578219069,0.16940884155360758
OBLIGATION_MANAGEMENT,synthetic_cash_buffer_change,16,14,0.05663679297943604,-0.0019176619866686372,0.058554454966104674,0.011757055791446258,0.03551104905064195,0.0815978608815674
LIQUIDITY_PROTECTION,synthetic_savings_rate_change,24,23,0.01840664341011738,-0.0017273807227517009,0.02013402413286908,0.004774373405168594,0.010776424209992776,0.029491624055745385
SPENDING_CONTROL,synthetic_savings_rate_change,5,6,0.023410860083273383,-0.013323337721657181,0.03673419780493056,0.01348799221113226,0.010298218847354566,0.06317017676250655
OBLIGATION_MANAGEMENT,synthetic_savings_rate_change,16,14,0.014097521493999518,0.0035874733882194296,0.010510048105780089,0.005126211815291288,0.0004628575706854734,0.020557238640874706
LIQUIDITY_PROTECTION,synthetic_discretionary_spending_change,24,23,-0.02105735709685878,0.005159026018465164,-0.026216383115323944,0.012271464017745362,-0.050268010627684045,-0.002164755602963843
SPENDING_CONTROL,synthetic_discretionary_spending_change,5,6,-0.10498461030619197,-0.002178089293487603,-0.10280652101270436,0.023341818254953725,-0.14855564412609323,-0.057057397899315486
OBLIGATION_MANAGEMENT,synthetic_discretionary_spending_change,16,14,-0.03147472427839014,-0.0004474964174463452,-0.031027227860943793,0.0104270231098652,-0.051463817622246416,-0.01059063809964117
