intervention_category,n,mean_cate,median_cate,std_cate,q10_cate,q90_cate,benefit_rate,strong_benefit_rate
LIQUIDITY_PROTECTION,82,-0.00922586185689179,-0.024157608795117205,0.12759884599316337,-0.18022362501873634,0.15619042252114634,0.5487804878048781,0.21951219512195122
OBLIGATION_MANAGEMENT,77,-0.16056471383535048,-0.16736181098805314,0.1337362918974847,-0.3139598301922676,0.0036283257922282916,0.8831168831168831,0.6363636363636364
SPENDING_CONTROL,141,-0.02337473387263139,-0.005021381750801225,0.11961085218467353,-0.205893524326201,0.11501611054234948,0.5460992907801419,0.24822695035460993
